Position,Team,Played,Won,Lost,Points,Goals For,Goals Against,Goal Difference,Power Score,Home Played,Home Wins,Home Losses,Home GF,Home GA,Away Played,Away Wins,Away Losses,Away GF,Away GA,Form Score (Last 5),Home Strength,Away Strength,Goal Per Point,Attacking Strenght,Defense Strength,Normalized Power Score
1,Liverpool FC,8,7,1,21,17,5,12,94.0,4,4,0,10,1,4,3,1,7,4,2.625,1.0,0.75,1.2352941176470589,2.125,0.625,1.5511112851474436
2,FC Barcelona,8,6,1,19,28,13,15,91.25,4,3,0,14,3,4,3,1,14,10,2.375,0.75,0.75,0.6785714285714286,3.5,1.625,1.4772488429975652
3,Arsenal FC,8,6,1,19,16,3,13,87.25,4,4,0,9,0,4,2,1,7,3,2.375,1.0,0.5,1.1875,2.0,0.375,1.3698125635068332
4,FC Internazionale Milano,8,6,1,19,11,1,10,81.25,4,4,0,9,0,4,2,1,2,1,2.375,1.0,0.5,1.7272727272727273,1.375,0.125,1.2086581442707351
5,Club Atlético de Madrid,8,6,2,18,20,12,8,76.0,4,3,1,8,6,4,3,1,12,6,2.25,0.75,0.75,0.9,2.5,1.5,1.0676480274391495
6,Bayer 04 Leverkusen,8,5,2,16,15,7,8,67.25,4,4,0,9,0,4,1,2,6,7,2.0,1.0,0.25,1.0666666666666667,1.875,0.875,0.8326311660531731
7,Lille OSC,8,5,2,16,17,10,7,65.25,4,3,0,11,4,4,2,2,6,6,2.0,0.75,0.5,0.9411764705882353,2.125,1.25,0.7789130263078071
8,Aston Villa FC,8,5,2,16,13,6,7,65.25,4,3,0,7,2,4,2,2,6,4,2.0,0.75,0.5,1.2307692307692308,1.625,0.75,0.7789130263078071
9,Atalanta BC,8,4,1,15,20,6,14,71.75,5,1,2,8,6,5,3,1,14,5,1.875,0.2,0.6,0.75,2.5,0.75,0.9534969804802467
10,Borussia Dortmund,8,5,3,15,22,12,10,70.0,5,3,1,13,5,5,3,2,12,7,1.875,0.6,0.6,0.6818181818181818,2.75,1.5,0.9064936082030515
11,Real Madrid CF,8,5,3,15,20,12,8,66.0,5,4,1,17,8,5,3,2,9,7,1.875,0.8,0.6,0.75,2.5,1.5,0.7990573287123194
12,FC Bayern München,8,5,3,15,20,12,8,66.0,5,4,0,15,4,5,2,3,8,10,1.875,0.8,0.4,0.75,2.5,1.5,0.7990573287123194
13,AC Milan,8,5,3,15,14,11,3,56.0,5,3,1,8,6,5,2,3,7,7,1.875,0.6,0.4,1.0714285714285714,1.75,1.375,0.5304666299854893
14,PSV,8,4,2,14,16,12,4,50.5,5,4,0,14,6,5,1,3,6,9,1.75,0.8,0.2,0.875,2.0,1.5,0.3827417456857328
15,Paris Saint-Germain FC,8,4,3,13,14,9,5,51.25,5,3,1,14,5,5,3,2,10,4,1.625,0.6,0.6,0.9285714285714286,1.75,1.125,0.4028860480902451
16,Sport Lisboa e Benfica,8,4,3,13,16,12,4,49.25,5,1,2,12,11,5,4,1,8,4,1.625,0.2,0.8,0.8125,2.0,1.5,0.34916790834487904
17,AS Monaco FC,8,4,3,13,13,13,0,41.25,5,3,2,10,6,5,1,2,6,11,1.625,0.6,0.2,1.0,1.625,1.625,0.13429534936341503
18,Stade Brestois 29,8,4,3,13,10,11,-1,39.25,5,2,2,4,8,5,2,3,6,13,1.625,0.4,0.4,1.3,1.25,1.375,0.08057720961804901
19,Feyenoord Rotterdam,8,4,3,13,18,21,-3,35.25,5,3,2,9,9,5,2,1,11,13,1.625,0.6,0.4,0.7222222222222222,2.25,2.625,-0.026859069872683005
20,Juventus FC,8,3,2,12,9,7,2,37.75,5,3,2,7,5,5,1,1,5,6,1.5,0.6,0.2,1.3333333333333333,1.125,0.875,0.040288604809024506
21,Celtic FC,8,3,2,12,13,14,-1,31.75,5,3,1,11,5,5,0,2,4,12,1.5,0.6,0.0,0.9230769230769231,1.625,1.75,-0.12086581442707352
22,Manchester City FC,8,3,3,11,18,14,4,40.5,5,2,1,13,7,5,1,4,8,13,1.375,0.4,0.2,0.6111111111111112,2.25,1.75,0.11415104695890277
23,Sporting Clube de Portugal,8,3,3,11,13,12,1,34.5,5,2,2,8,10,5,1,2,5,5,1.375,0.4,0.2,0.8461538461538461,1.625,1.5,-0.04700337227719526
24,Club Brugge KV,8,3,3,11,7,11,-4,24.5,5,3,1,5,5,5,2,2,7,8,1.375,0.6,0.4,1.5714285714285714,0.875,1.375,-0.3155940710040253
25,GNK Dinamo Zagreb,8,3,3,11,12,19,-7,18.5,4,1,1,4,6,4,2,2,8,13,1.375,0.25,0.5,0.9166666666666666,1.5,2.375,-0.47674849024012333
26,VfB Stuttgart,8,3,4,10,13,17,-4,23.25,4,1,2,7,8,4,2,2,6,9,1.25,0.25,0.5,0.7692307692307693,1.625,2.125,-0.34916790834487904
27,FK Shakhtar Donetsk,8,2,5,7,8,16,-8,5.25,4,2,2,5,9,4,0,3,3,7,0.875,0.5,0.0,0.875,1.0,2.0,-0.8326311660531731
28,Bologna FC 1909,8,1,4,6,4,9,-5,3.75,4,1,2,3,4,4,0,2,1,5,0.75,0.25,0.0,1.5,0.5,1.125,-0.8729197708621976
29,FK Crvena Zvezda,8,2,6,6,13,22,-9,2.0,4,1,3,10,11,4,1,3,3,11,0.75,0.25,0.25,0.46153846153846156,1.625,2.75,-0.9199231431393929
30,SK Sturm Graz,8,2,6,6,5,14,-9,2.0,4,2,2,2,3,4,0,4,3,11,0.75,0.5,0.0,1.2,0.625,1.75,-0.9199231431393929
31,AC Sparta Praha,8,1,6,4,7,21,-14,-16.75,4,1,3,4,9,4,0,3,3,12,0.5,0.25,0.0,0.5714285714285714,0.875,2.625,-1.4235307032521993
32,RB Leipzig,8,1,7,3,8,15,-7,-4.0,4,1,3,6,8,4,0,4,2,7,0.375,0.25,0.0,0.375,1.0,1.875,-1.081077562375491
33,Girona FC,8,1,7,3,5,13,-8,-6.0,4,1,3,5,6,4,0,4,0,7,0.375,0.25,0.0,0.6,0.625,1.625,-1.134795702120857
34,FC Red Bull Salzburg,8,1,7,3,5,27,-22,-34.0,4,0,4,1,13,4,1,3,4,14,0.375,0.0,0.25,0.6,0.625,3.375,-1.886849658555981
35,ŠK Slovan Bratislava,8,0,8,0,7,27,-20,-40.0,4,0,4,4,14,4,0,4,3,13,0.0,0.0,0.0,0.0,0.875,3.375,-2.048004077792079
36,BSC Young Boys,8,0,8,0,3,24,-21,-42.0,4,0,4,1,11,4,0,4,2,13,0.0,0.0,0.0,0.0,0.375,3.0,-2.101722217537445
